+----+-----------------------------+-----------+-------------+-------------+
| id | item_name                   | item_type | item_region | item_rarity |
| 32 | Spiked Kite Shield          | Shields   | Red         | Common      |
| 33 | Spiked Kite Shield          | Shields   | Red         | Rare        |
| 34 | Tower Shield of Vigilance   | Shields   | Red         | Common      |
| 35 | Tower Shield of Vigilance   | Shields   | Red         | Rare        |
| 36 | Toughened Leather Armor     | Armor     | Red         | Common      |
| 37 | Toughened Leather Armor     | Armor     | Red         | Rare        |
| 38 | Mageweave Robe              | Armor     | Red         | Common      |
| 39 | Mageweave Robe              | Armor     | Red         | Rare        |
| 40 | Iron-Bound Chestplate       | Armor     | Red         | Common      |
| 41 | Iron-Bound Chestplate       | Armor     | Red         | Rare        |
| 42 | Forged Iron Helm            | Armor     | Red         | Common      |
| 43 | Forged Iron Helm            | Armor     | Red         | Rare        |
| 44 | Battle-Ready Leather Cap    | Armor     | Red         | Common      |
| 45 | Battle-Ready Leather Cap    | Armor     | Red         | Rare        |
| 46 | Blade of Eternal Flame      | Weapons   | Black       | Common      |
| 47 | Blade of Eternal Flame      | Weapons   | Black       | Rare        |
| 48 | Blade of Eternal Flame      | Weapons   | Black       | Legendary   |
| 49 | Shadowfang Dagger           | Weapons   | Black       | Common      |
| 50 | Shadowfang Dagger           | Weapons   | Black       | Rare        |
| 51 | Shadowfang Dagger           | Weapons   | Black       | Legendary   |
| 52 | Spear of the Vanguard       | Weapons   | Black       | Common      |
| 53 | Spear of the Vanguard       | Weapons   | Black       | Rare        |
| 54 | Spear of the Vanguard       | Weapons   | Black       | Legendary   |
| 55 | Titanwood Warclub           | Weapons   | Black       | Common      |
| 56 | Titanwood Warclub           | Weapons   | Black       | Rare        |
| 57 | Titanwood Warclub           | Weapons   | Black       | Legendary   |
| 58 | Longbow of the Phoenix      | Weapons   | Black       | Common      |
| 59 | Longbow of the Phoenix      | Weapons   | Black       | Rare        |
| 60 | Longbow of the Phoenix      | Weapons   | Black       | Legendary   |
| 61 | Aegis of the Ancients       | Shields   | Black       | Common      |
| 62 | Aegis of the Ancients       | Shields   | Black       | Rare        |
| 63 | Aegis of the Ancients       | Shields   | Black       | Legendary   |
| 64 | Dragonsteel Tower Shield    | Shields   | Black       | Common      |
| 65 | Dragonsteel Tower Shield    | Shields   | Black       | Rare        |
| 66 | Dragonsteel Tower Shield    | Shields   | Black       | Legendary   |
| 67 | Spireguard Kite Shield      | Shields   | Black       | Common      |
| 68 | Spireguard Kite Shield      | Shields   | Black       | Rare        |
| 69 | Spireguard Kite Shield      | Shields   | Black       | Legendary   |
| 70 | Ward of the Eternal Watch   | Shields   | Black       | Common      |
| 71 | Ward of the Eternal Watch   | Shields   | Black       | Rare        |
| 72 | Ward of the Eternal Watch   | Shields   | Black       | Legendary   |
| 73 | Obsidian Bulwark            | Shields   | Black       | Common      |
| 74 | Obsidian Bulwark            | Shields   | Black       | Rare        |
| 75 | Obsidian Bulwark            | Shields   | Black       | Legendary   |
| 76 | Dragonscale Leather Armor   | Armor     | Black       | Common      |
| 77 | Dragonscale Leather Armor   | Armor     | Black       | Rare        |
| 78 | Dragonscale Leather Armor   | Armor     | Black       | Legendary   |
| 79 | Robe of the Archmage        | Armor     | Black       | Common      |
| 80 | Robe of the Archmage        | Armor     | Black       | Rare        |
| 81 | Robe of the Archmage        | Armor     | Black       | Legendary   |
| 82 | Plate of the Storm King     | Armor     | Black       | Common      |
| 83 | Plate of the Storm King     | Armor     | Black       | Rare        |
| 84 | Plate of the Storm King     | Armor     | Black       | Legendary   |
| 85 | Helm of the Iron Sentinel   | Armor     | Black       | Common      |
| 86 | Helm of the Iron Sentinel   | Armor     | Black       | Rare        |
| 87 | Helm of the Iron Sentinel   | Armor     | Black       | Legendary   |
| 88 | Battlelord’s Vanguard Cap   | Armor     | Black       | Common      |
| 89 | Battlelord’s Vanguard Cap   | Armor     | Black       | Rare        |
| 90 | Battlelord’s Vanguard Cap   | Armor     | Black       | Legendary   |
+----+-----------------------------+-----------+-------------+-------------+
